locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKELMNLG_00227	CDS	951	hdfR_2			HTH-type transcriptional regulator HdfR
IKELMNLG_00228	CDS	588				hypothetical protein
IKELMNLG_00229	CDS	1473	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
IKELMNLG_00230	CDS	1215	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
IKELMNLG_00231	CDS	936	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
IKELMNLG_00232	CDS	951	murK_1	2.7.1.-	COG2971	N-acetylmuramic acid/N-acetylglucosamine kinase
IKELMNLG_00233	CDS	1572	sglT			Sodium/glucose cotransporter
IKELMNLG_00234	CDS	1176	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
IKELMNLG_00235	CDS	1047	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
IKELMNLG_00236	CDS	366				hypothetical protein
IKELMNLG_00237	CDS	894	azoB_2	1.7.-.-		NAD(P)H azoreductase
IKELMNLG_00238	CDS	963	leuO			HTH-type transcriptional regulator LeuO
IKELMNLG_00239	CDS	1521	katA_1	1.11.1.6	COG0753	Catalase
IKELMNLG_00240	CDS	783				hypothetical protein
IKELMNLG_00241	CDS	921				hypothetical protein
IKELMNLG_00242	CDS	1368				hypothetical protein
IKELMNLG_00243	CDS	1074	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
IKELMNLG_00244	CDS	366				hypothetical protein
IKELMNLG_00245	CDS	573				hypothetical protein
IKELMNLG_00246	CDS	1875		3.2.1.151		Xyloglucan-specific endo-beta-1,4-glucanase BoGH9A
IKELMNLG_00247	CDS	1218	ravA	3.6.3.-		ATPase RavA
IKELMNLG_00248	CDS	1671	viaA			Protein ViaA
IKELMNLG_00249	CDS	816				hypothetical protein
IKELMNLG_00250	CDS	876				hypothetical protein
IKELMNLG_00251	CDS	477				hypothetical protein
IKELMNLG_00252	CDS	1110				hypothetical protein
IKELMNLG_00253	CDS	1194		3.2.1.39		Glucan endo-1,3-beta-glucosidase
IKELMNLG_00254	CDS	858	bglA_1	3.2.1.73		Beta-glucanase
IKELMNLG_00255	CDS	150				hypothetical protein
IKELMNLG_00256	CDS	345	rsbV_1		COG1366	Anti-sigma-B factor antagonist
IKELMNLG_00257	CDS	2997				hypothetical protein
IKELMNLG_00258	CDS	414				hypothetical protein
IKELMNLG_00259	CDS	1128		5.1.1.-	COG4948	N-succinyl-L-Arg/Lys racemase
IKELMNLG_00260	CDS	792	crnA	3.5.2.10		Creatinine amidohydrolase
IKELMNLG_00261	CDS	960	glcK_1	2.7.1.2	COG1940	Glucokinase
IKELMNLG_00262	CDS	951	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
IKELMNLG_00263	CDS	867	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
IKELMNLG_00264	CDS	915	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
IKELMNLG_00265	CDS	993	nikB		COG0601	Nickel transport system permease protein NikB
IKELMNLG_00266	CDS	1578	gsiB_2		COG0747	Glutathione-binding protein GsiB
IKELMNLG_00267	CDS	867	xynR_2		COG1414	HTH-type transcriptional regulator XynR
IKELMNLG_00268	CDS	1062	yfeW_1	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
IKELMNLG_00269	CDS	534				hypothetical protein
IKELMNLG_00270	CDS	1197		3.2.1.39		Glucan endo-1,3-beta-glucosidase
IKELMNLG_00271	CDS	1440		3.2.1.21		Bifunctional beta-D-glucosidase/beta-D-fucosidase
IKELMNLG_00272	CDS	924	lacG_1			Lactose transport system permease protein LacG
IKELMNLG_00273	CDS	996	lacF_1			Lactose transport system permease protein LacF
IKELMNLG_00274	CDS	1311				hypothetical protein
IKELMNLG_00275	CDS	1014	rbsR_1		COG1609	Ribose operon repressor
IKELMNLG_00276	CDS	963	ppsC_2	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
IKELMNLG_00277	CDS	627				hypothetical protein
IKELMNLG_00278	CDS	204				hypothetical protein
IKELMNLG_00279	CDS	855	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
IKELMNLG_00280	CDS	345				hypothetical protein
IKELMNLG_00281	CDS	945		1.8.3.7	COG1262	Formylglycine-generating enzyme
IKELMNLG_00282	CDS	1602		3.1.6.-		Ulvan-active sulfatase
IKELMNLG_00283	CDS	1023	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
IKELMNLG_00284	CDS	813	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
IKELMNLG_00285	CDS	912	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IKELMNLG_00286	CDS	1266	nagC_1		COG1940	N-acetylglucosamine repressor
IKELMNLG_00287	CDS	1347				hypothetical protein
IKELMNLG_00288	CDS	2160				hypothetical protein
IKELMNLG_00289	CDS	672				hypothetical protein
IKELMNLG_00290	CDS	735				putative HTH-type transcriptional regulator
IKELMNLG_00291	CDS	1002	oxyR_1			Hydrogen peroxide-inducible genes activator
IKELMNLG_00292	CDS	1314	dgdA	4.1.1.64		2,2-dialkylglycine decarboxylase
IKELMNLG_00293	CDS	2220	ydfJ_1		COG2409	Membrane protein YdfJ
IKELMNLG_00294	CDS	564				hypothetical protein
IKELMNLG_00295	CDS	1515	mtrB	2.7.13.3		Sensor histidine kinase MtrB
IKELMNLG_00296	CDS	702	afsQ1_1			Transcriptional regulatory protein AfsQ1
IKELMNLG_00297	CDS	840				hypothetical protein
IKELMNLG_00298	CDS	1257	oatA	2.3.1.-		O-acetyltransferase OatA
IKELMNLG_00299	CDS	1083				hypothetical protein
IKELMNLG_00300	CDS	1101				hypothetical protein
IKELMNLG_00301	CDS	423				hypothetical protein
IKELMNLG_00302	CDS	1023				hypothetical protein
IKELMNLG_00303	CDS	1248	ydhP_2		COG2814	Inner membrane transport protein YdhP
IKELMNLG_00304	CDS	2295		1.-.-.-	COG0243	putative oxidoreductase
IKELMNLG_00305	CDS	519				hypothetical protein
IKELMNLG_00306	CDS	2514	clpC_1		COG0542	Negative regulator of genetic competence ClpC/MecB
IKELMNLG_00307	CDS	2103	ligA_1	6.5.1.2		DNA ligase
IKELMNLG_00308	CDS	1116		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
IKELMNLG_00309	CDS	1215	ybjJ_1			Inner membrane protein YbjJ
IKELMNLG_00310	CDS	582	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
IKELMNLG_00311	CDS	558	rcdA_1		COG3226	HTH-type transcriptional regulator RcdA
IKELMNLG_00312	CDS	1299				hypothetical protein
IKELMNLG_00313	CDS	1917	htpG_1		COG0326	Chaperone protein HtpG
IKELMNLG_00314	CDS	570				hypothetical protein
IKELMNLG_00315	CDS	501				hypothetical protein
IKELMNLG_00316	CDS	888		3.1.1.3		Lipase 2
IKELMNLG_00317	CDS	957	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
IKELMNLG_00318	CDS	999	gap2_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 2
IKELMNLG_00319	CDS	498	ppiA	5.2.1.8		Peptidyl-prolyl cis-trans isomerase A
IKELMNLG_00320	CDS	1479	gshA_1	6.3.2.2		Glutamate--cysteine ligase
IKELMNLG_00321	CDS	834	egtC_1	3.5.1.118		Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
IKELMNLG_00322	CDS	948	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
IKELMNLG_00323	CDS	1821	lacZ_1	3.2.1.23		Beta-galactosidase
IKELMNLG_00324	CDS	900	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
IKELMNLG_00325	CDS	942	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
IKELMNLG_00326	CDS	1374				hypothetical protein
IKELMNLG_00327	CDS	1041	ccpA_1		COG1609	Catabolite control protein A
IKELMNLG_00328	CDS	1476				hypothetical protein
IKELMNLG_00329	CDS	1488	pucI_1		COG1953	putative allantoin permease
IKELMNLG_00330	CDS	726	hyuE	5.1.99.5		Hydantoin racemase
IKELMNLG_00331	CDS	651	lutR_1		COG2186	HTH-type transcriptional regulator LutR
IKELMNLG_00332	CDS	780	nimR_1			HTH-type transcriptional regulator NimR
IKELMNLG_00333	CDS	798				hypothetical protein
IKELMNLG_00334	CDS	237				hypothetical protein
IKELMNLG_00335	CDS	441				hypothetical protein
IKELMNLG_00336	CDS	1938				hypothetical protein
IKELMNLG_00337	CDS	1365				hypothetical protein
IKELMNLG_00338	CDS	801				hypothetical protein
IKELMNLG_00339	CDS	1146	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
IKELMNLG_00340	CDS	1404				hypothetical protein
IKELMNLG_00341	CDS	1032				hypothetical protein
IKELMNLG_00342	CDS	885	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
IKELMNLG_00343	CDS	1203	nagC_2		COG1940	N-acetylglucosamine repressor
IKELMNLG_00344	CDS	687	gfo_1	1.1.99.28		Glucose--fructose oxidoreductase
IKELMNLG_00345	CDS	237				hypothetical protein
IKELMNLG_00346	CDS	408				hypothetical protein
IKELMNLG_00347	CDS	414				hypothetical protein
IKELMNLG_00348	CDS	570				hypothetical protein
IKELMNLG_00349	CDS	624				hypothetical protein
IKELMNLG_00350	CDS	1191				hypothetical protein
IKELMNLG_00351	CDS	903				hypothetical protein
IKELMNLG_00352	CDS	1494				hypothetical protein
IKELMNLG_00353	CDS	1218				hypothetical protein
IKELMNLG_00354	CDS	1107	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
IKELMNLG_00355	CDS	516	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
IKELMNLG_00356	CDS	828	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
IKELMNLG_00357	CDS	312	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
IKELMNLG_00358	CDS	1074	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
IKELMNLG_00359	CDS	513				hypothetical protein
IKELMNLG_00360	CDS	1347	paaK	6.2.1.30		Phenylacetate-coenzyme A ligase
IKELMNLG_00361	CDS	1299	czcO_1	1.-.-.-	COG2072	putative oxidoreductase CzcO
IKELMNLG_00362	CDS	1128				hypothetical protein
IKELMNLG_00363	CDS	594				hypothetical protein
IKELMNLG_00364	CDS	378				hypothetical protein
IKELMNLG_00365	CDS	402			COG2018	Serine protease inhibitor
IKELMNLG_00366	CDS	1203				hypothetical protein
IKELMNLG_00367	CDS	744	yfcA_1		COG0730	putative membrane transporter protein YfcA
IKELMNLG_00368	CDS	729				hypothetical protein
IKELMNLG_00369	CDS	1071				hypothetical protein
IKELMNLG_00370	CDS	840	ylmA_1	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
IKELMNLG_00371	CDS	333				hypothetical protein
IKELMNLG_00372	CDS	399				hypothetical protein
IKELMNLG_00373	CDS	492				hypothetical protein
IKELMNLG_00374	CDS	537	nicF	3.5.1.107	COG1335	Maleamate amidohydrolase
IKELMNLG_00375	CDS	759				hypothetical protein
IKELMNLG_00376	CDS	1071				hypothetical protein
IKELMNLG_00377	CDS	1029	mmcR	2.1.1.316		Mitomycin biosynthesis 6-O-methyltransferase
IKELMNLG_00378	CDS	1197				hypothetical protein
IKELMNLG_00379	CDS	681				hypothetical protein
IKELMNLG_00380	CDS	678				hypothetical protein
IKELMNLG_00381	CDS	2076				hypothetical protein
IKELMNLG_00382	CDS	552		2.3.1.-	COG1670	Acetyltransferase
IKELMNLG_00383	CDS	441				hypothetical protein
IKELMNLG_00384	CDS	738	yjhP_1			putative protein YjhP
IKELMNLG_00385	CDS	1197				hypothetical protein
IKELMNLG_00386	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
IKELMNLG_00387	CDS	465				hypothetical protein
IKELMNLG_00388	CDS	591	comR_1			HTH-type transcriptional repressor ComR
IKELMNLG_00389	CDS	945		3.3.2.10		Soluble epoxide hydrolase
IKELMNLG_00390	CDS	741				hypothetical protein
IKELMNLG_00391	CDS	936	pcpR			PCP degradation transcriptional activation protein
IKELMNLG_00392	CDS	1581	mdlC	4.1.1.7		Benzoylformate decarboxylase
IKELMNLG_00393	CDS	1455	xylC	1.2.1.28		Benzaldehyde dehydrogenase [NAD(+)]
IKELMNLG_00394	CDS	1269	genK		COG0477	Gentisate transporter
IKELMNLG_00395	CDS	762				hypothetical protein
IKELMNLG_00396	CDS	975	benM_1			HTH-type transcriptional regulator BenM
IKELMNLG_00397	CDS	684	snpA	3.4.24.77		Extracellular small neutral protease
IKELMNLG_00398	CDS	261				hypothetical protein
IKELMNLG_00399	CDS	687				hypothetical protein
IKELMNLG_00400	CDS	351				hypothetical protein
IKELMNLG_00401	CDS	1197	hmp_1	1.14.12.17		Flavohemoprotein
IKELMNLG_00402	CDS	447	nsrR		COG1959	HTH-type transcriptional repressor NsrR
IKELMNLG_00403	CDS	438				hypothetical protein
IKELMNLG_00404	CDS	1734	mdtD_1			Putative multidrug resistance protein MdtD
IKELMNLG_00405	CDS	453				hypothetical protein
IKELMNLG_00406	CDS	711				hypothetical protein
IKELMNLG_00407	CDS	1632				hypothetical protein
IKELMNLG_00408	CDS	408			COG2018	Serine protease inhibitor
IKELMNLG_00409	CDS	348				hypothetical protein
IKELMNLG_00410	CDS	642				hypothetical protein
